Rk,Player,WS,From,To,Age,G,GS,AS,MP,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,2P%,3P%,FT%,TS%,eFG%,Pos,Team
107,Kevin Love,94.8,2008-09,2024-25,20-36,948,690,5,29,5.3,12.2,3.6,7.4,1.8,4.8,3.8,4.6,2.3,7.7,10,2.3,0.6,0.4,1.8,1.9,16.2,0.438,0.483,0.369,0.828,0.571,0.51,F-C,"CLE,MIA,MIN"
108,Ben Wallace,93.5,1996-97,2011-12,22-37,1088,912,4,29.5,2.4,5,2.4,4.9,0,0,1,2.5,3.2,6.5,9.6,1.3,1.3,2,1,1.9,5.7,0.474,0.477,0.137,0.414,0.474,0.475,F-C,"CHI,CLE,DET,ORL,WAS,WSB"
109,Rick Barry,93.4,1965-66,1979-80,21-35,794,82,8,36.3,9.1,20.4,9,20.1,1,3.1,4.8,5.3,0.9,5.9,6.5,5.1,2,0.5,2.5,2.9,23.2,0.449,0.45,0.33,0.9,0.51,0.451,F,"GSW,HOU,SFW"
110,Chris Mullin,93.1,1985-86,2000-01,22-37,986,822,5,32.6,6.8,13.4,6,11.3,0.8,2.2,3.7,4.2,1,3.1,4.1,3.5,1.6,0.6,2.3,2.1,18.2,0.509,0.533,0.384,0.865,0.594,0.54,F-G,"GSW,IND"
111,Kevin Johnson,92.8,1987-88,1999-00,21-33,735,623,3,34.1,6.1,12.5,5.9,11.7,0.2,0.7,5.4,6.4,0.7,2.6,3.3,9.1,1.5,0.2,3.1,2.1,17.9,0.493,0.504,0.305,0.841,0.585,0.501,G,"CLE,PHO"
112,Amar'e Stoudemire,92.5,2002-03,2015-16,20-33,846,696,6,31,7,13,7,12.9,0,0.2,4.9,6.4,2.4,5.4,7.8,1.2,0.8,1.2,2.3,3.2,18.9,0.537,0.54,0.236,0.761,0.597,0.538,F-C,"DAL,MIA,NYK,PHO"
113,Sam Jones,92.3,1957-58,1968-69,24-35,871,,5,27.9,7.2,15.8,7.2,15.8,,,3.3,4.1,,,4.9,2.5,,,,2,17.7,0.456,0.456,,0.803,0.503,0.456,G-F,BOS
114,Neil Johnston,92,1951-52,1958-59,22-29,516,,6,35.5,6.4,14.4,6.4,14.4,,,6.6,8.6,,,11.3,2.5,,,,3.3,19.4,0.444,0.444,,0.768,0.534,0.444,C,PHW
115,Mark Jackson,91.8,1987-88,2003-04,22-38,1296,1092,1,30.2,3.7,8.3,3.1,6.6,0.6,1.7,1.7,2.2,1,2.8,3.8,8,1.2,0.1,2.4,1.7,9.6,0.447,0.477,0.332,0.77,0.522,0.481,G,"DEN,HOU,IND,LAC,NYK,TOR,UTA"
116,Kyrie Irving,91.4,2011-12,2024-25,19-32,777,777,9,34.5,8.7,18.4,6.3,12.3,2.4,6.1,3.8,4.3,0.8,3.3,4.1,5.6,1.3,0.4,2.5,2.3,23.7,0.474,0.514,0.394,0.887,0.584,0.54,G,"BOS,BRK,CLE,DAL"
117,Terry Cummings,91.1,1982-83,1999-00,21-38,1183,815,2,28.7,6.8,14.1,6.8,13.9,0,0.1,2.8,4,2.7,4.6,7.3,1.9,1.1,0.5,1.9,3.2,16.4,0.484,0.486,0.295,0.706,0.52,0.485,F,"GSW,MIL,NYK,PHI,SAS,SDC,SEA"
118,Bob Cousy,91.1,1950-51,1969-70,22-41,924,,13,35.3,6.7,17.8,6.7,17.8,,,5,6.2,,,5.2,7.5,,,,2.4,18.4,0.375,0.375,,0.803,0.446,0.375,G,"BOS,CIN"
119,Rashard Lewis,90.9,1998-99,2013-14,19-34,1049,842,2,32,5.4,11.9,3.7,7.5,1.7,4.4,2.4,3,1.4,3.8,5.2,1.7,1.1,0.5,1.5,2.3,14.9,0.452,0.491,0.386,0.805,0.563,0.524,F,"MIA,ORL,SEA,WAS"
120,Hersey Hawkins,90.6,1988-89,2000-01,22-34,983,896,1,32.6,5,10.8,3.7,7.6,1.2,3.2,3.5,4.1,0.8,2.8,3.6,2.9,1.7,0.3,1.9,2.1,14.7,0.461,0.488,0.394,0.87,0.585,0.518,G,"CHH,CHI,PHI,SEA"
121,Sidney Moncrief,90.3,1979-80,1990-91,22-33,767,513,5,30.2,5.4,10.7,5.2,10.2,0.1,0.5,4.7,5.6,1.9,2.8,4.7,3.6,1.2,0.3,2,2.1,15.6,0.502,0.513,0.284,0.831,0.591,0.509,G,"ATL,MIL"
122,P.J. Brown,89.8,1993-94,2007-08,24-38,1089,990,0,31.1,3.5,7.7,3.5,7.6,0,0.1,2,2.5,2.8,5,7.7,1.5,0.8,1,1.2,3,9.1,0.46,0.463,0.136,0.794,0.516,0.461,F-C,"BOS,CHH,CHI,MIA,NJN,NOH,NOK"
123,Dennis Rodman,89.8,1986-87,1999-00,25-38,911,573,2,31.7,3,5.8,2.9,5.4,0.1,0.4,1.2,2,4.8,8.4,13.1,1.8,0.7,0.6,1.6,3.1,7.3,0.521,0.542,0.231,0.584,0.546,0.529,F,"CHI,DAL,DET,LAL,SAS"
124,Alonzo Mourning,89.7,1992-93,2007-08,22-37,838,686,7,31,6.1,11.6,6.1,11.5,0,0.1,4.8,7,2.6,5.9,8.5,1.1,0.5,2.8,2.6,3.4,17.1,0.527,0.53,0.247,0.692,0.583,0.529,C-F,"CHH,MIA,NJN"
